Person Full Name (Letr.),My Title,Jud Experience Pending Status,Jud Experience Pend Sub Type,Jud Experience Active Date,Experience Status Effective Date,Experience Status,Experience Status Reason
Hon. Warren C. Conklin (Ret.),"Judge of the San Luis Obispo County Municipal Court, San Luis Obispo County",Elected,,01/06/1975,09/07/1982,Promoted,Elevated
Hon. Kenneth E. Conn (Ret.),"Judge of the Superior Court of California,
  County of Tulare",Appointed,"Brown, Jr.",01/20/1978,10/31/1998,Retired,Retirement
Hon. Donald B. Constine (Ret.),"Judge of the Superior Court of California,
  County of San Francisco",Appointed,Reagan,12/29/1969,04/30/1985,Retired,Retirement
Hon. Donald B. Constine (Ret.),"Judge of the San Francisco Municipal Court, San Francisco County",Appointed,Brown,09/17/1964,12/29/1969,Promoted,Elevated
Hon. Matias R. Contreras (Ret.),"Judge of the Superior Court of California,
  County of Imperial",Elected,,01/02/1995,01/31/2006,Retired,Retirement
Hon. Matias R. Contreras (Ret.),"Judge of the Imperial County Municipal Court, Imperial County",Appointed,"Brown, Jr.",05/29/1980,01/02/1995,Promoted,Elevated
Hon. James W. Cook (Ret.),"Judge of the Superior Court of California,
  County of Orange",Elected,,01/05/1981,12/01/1985,Retired,Retirement
Hon. James W. Cook (Ret.),"Judge of the North Orange County Municipal Court, Orange County",Appointed,Brown,08/23/1965,01/05/1981,Promoted,Elevated
Hon. J. Hilary Cook (Ret.),"Judge of the Superior Court of California,
  County of Alpine",Appointed,Reagan,09/10/1971,09/11/1991,Retired,Deferred Retirement
Hon. Robert Joseph Cooney (Ret.),"Judge of the Superior Court of California,
  County of Contra Costa",Appointed,Brown,08/31/1964,01/06/1985,Retired,Retirement
Hon. Robert J. Cooney (Ret.),"Judge of the San Diego Municipal Court, San Diego County",Appointed,Reagan,11/21/1968,04/30/1989,Retired,Deferred Retirement
Hon. Candace D. Cooper,"Associate Justice of the Court of Appeal
Second Appellate District, Division Two",Appointed,Davis,11/10/1999,11/20/2001,Transferred,
Hon. Candace D. Cooper,"Presiding Justice of the Court of Appeal
Second Appellate District, Division Eight",Appointed,Davis,11/21/2001,12/31/2008,Retired,Retirement
Hon. Candace D. Cooper,"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Deukemejian,11/25/1987,11/10/1999,Promoted,Elevated
Hon. Candace D. Cooper,"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,"Brown, Jr.",03/13/1980,11/25/1987,Promoted,Elevated
Hon. John S. Cooper (Ret.),"Judge of the Superior Court of California,
  County of Alameda",Appointed,Reagan,12/29/1970,07/15/1988,Retired,Retirement
Hon. John S. Cooper (Ret.),"Judge of the Oakland-Piedmont-Emeryville Municipal Court, Alameda County",Appointed,Reagan,02/01/1968,12/29/1970,Promoted,Elevated
"Hon. Lee E. Cooper, Jr. (Ret.)","Judge of the Ventura County Municipal Court, Ventura County",Appointed,Reagan,10/05/1970,01/03/1971,Term Ended,
"Hon. Lee E. Cooper, Jr. (Ret.)","Judge of the Ventura County Municipal Court, Ventura County",Appointed,Reagan,01/04/1971,01/07/1991,Retired,Deferred Retirement
Hon. Barnet M. Cooperman (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,"Brown, Jr.",04/11/1980,12/31/1994,Retired,Retirement
Hon. Jaime R. Corral (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,"Brown, Jr.",01/02/1983,09/06/1999,Retired,Retirement
Hon. Jaime R. Corral (Ret.),"Judge of the Rio Hondo Municipal Court, Los Angeles County",Appointed,"Brown, Jr.",03/09/1979,01/01/1983,Promoted,Elevated
Hon. LaDoris Hazzard Cordell (Ret.),"Judge of the Superior Court of California,
  County of Santa Clara",Elected,,01/02/1989,02/28/2001,Retired,Retirement
Hon. LaDoris Hazzard Cordell (Ret.),"Judge of the Santa Clara County Municipal Court, Santa Clara County",Appointed,"Brown, Jr.",05/28/1982,01/02/1989,Promoted,Elevated
Hon. John L. Cosgrove (Ret.),"Judge of the Superior Court of California,
  County of Placer",Appointed,Wilson,01/26/1998,12/31/2004,Retired,Retirement
Hon. John L. Cosgrove (Ret.),"Judge of the Placer Municipal Court Auburn Division, Placer County",Elected,,11/23/1982,01/26/1998,Promoted,Elevated
Hon. Christopher C. Cottle (Ret.),"Associate Justice of the Court of Appeal
Sixth Appellate District",Appointed,Deukemejian,09/29/1988,02/03/1993,Promoted,Elevated
Hon. Christopher C. Cottle (Ret.),"Administrative Presiding Justice of the Court of Appeal
Sixth Appellate District",Appointed,Wilson,02/04/1993,08/31/2001,Retired,Retirement
Hon. Christopher C. Cottle (Ret.),"Judge of the Superior Court of California,
  County of Santa Cruz",Appointed,"Brown, Jr.",08/25/1977,09/29/1988,Promoted,Elevated
Hon. J. Richard Couzens (Ret.),"Judge of the Superior Court of California,
  County of Placer",Appointed,"Brown, Jr.",04/03/1980,01/31/2005,Retired,Retirement
Hon. Patricia Yim Cowett (Ret.),"Judge of the Superior Court of California,
  County of San Diego",Unification,,12/01/1998,04/08/2008,Retired,Retirement
Hon. Patricia Yim Cowett (Ret.),"Judge of the San Diego Municipal Court, San Diego County",Appointed,"Brown, Jr.",02/26/1979,12/01/1998,Non-Voluntary,Unification-SCA4
Hon. Dyson W. Cox (Ret.),"Judge of the San Bernardino County Municipal Court, San Bernardino County",Appointed,"Brown, Jr.",10/21/1975,10/23/1987,Retired,Retirement
Hon. Phillip E. Cox (Ret.),"Judge of the Superior Court of California,
  County of Orange",Appointed,"Brown, Jr.",04/02/1981,02/29/1996,Retired,Retirement
Hon. Phillip E. Cox (Ret.),"Judge of the West Orange County Municipal Court, Orange County",Appointed,"Brown, Jr.",02/10/1978,04/02/1981,Promoted,Elevated
Hon. Brian D. Crahan (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,Reagan,06/04/1973,07/14/1988,Retired,
Hon. James Milton Cramer,"Judge of the San Bernardino County Municipal Court Central Division, San Bernardino County",Appointed,"Brown, Jr.",12/13/1982,04/20/1991,Deceased,
Hon. Rex W. Cranmer (Ret.),"Judge of the Superior Court of California,
  County of San Bernardino",Appointed,Reagan,01/31/1974,01/04/1987,Retired,Retirement
Hon. Rex W. Cranmer (Ret.),"Judge of the San Bernardino County Municipal Court East Division, San Bernardino County",Appointed,Reagan,03/12/1973,01/31/1974,Promoted,Elevated
Hon. Daniel E. Creed (Ret.),"Judge of the Superior Court of California,
  County of Santa Clara",Elected,,01/05/1981,08/16/2001,Retired,Retirement
"Hon. Frank J. Creede, Jr. (Ret.)","Judge of the Superior Court of California,
  County of Fresno",Appointed,Reagan,02/28/1973,12/31/1998,Retired,Retirement
Hon. Jack A. Crickard (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Reagan,12/10/1970,06/30/1987,Retired,Retirement
Hon. Richard V. Crouter,"Judge of the San Bernardino County Municipal Court Morongo Basin Division, San Bernardino County",Elected,,01/03/1983,01/02/1989,Defeated,
"Hon. Thomas F. Crosby, Jr. (Ret.)","Associate Justice of the Court of Appeal
Fourth Appellate District, Division Three",Appointed,"Brown, Jr.",12/27/1982,06/01/2001,Retired,Retirement
"Hon. Thomas F. Crosby, Jr. (Ret.)","Judge of the Superior Court of California,
  County of Orange",Appointed,"Brown, Jr.",05/15/1981,12/27/1982,Promoted,Elevated
"Hon. John F. Cruikshank, Jr. (Ret.)","Judge of the Superior Court of California,
  County of San Joaquin",Appointed,"Brown, Jr.",04/04/1980,03/01/1996,Retired,Retirement
"Hon. John F. Cruikshank, Jr. (Ret.)","Judge of the Stockton Municipal Court, San Joaquin County",Appointed,"Brown, Jr.",03/29/1979,04/04/1980,Promoted,Elevated
Hon. Richard C. Cumming (Ret.),"Judge of the Downey Municipal Court, Los Angeles County",Appointed,"Brown, Jr.",09/26/1980,12/31/1994,Retired,Retirement
Hon. Douglas R. Cunningham (Ret.),"Judge of the Superior Court of California,
  County of Contra Costa",Unification,,06/08/1998,01/04/2003,Retired,Retirement
Hon. Douglas R. Cunningham (Ret.),"Judge of the Mt. Diablo Municipal Court, Contra Costa County",Appointed,"Brown, Jr.",01/03/1983,06/08/1998,Non-Voluntary,Unification-SCA4
Hon. Wilson Curle (Ret.),"Judge of the Superior Court of California,
  County of Shasta",Unification,,06/03/1998,09/30/2011,Retired,Retirement
Hon. Wilson Curle (Ret.),"Judge of the Shasta County Municipal Court, Shasta County",Appointed,"Brown, Jr.",12/30/1982,06/03/1998,Non-Voluntary,Unification-SCA4
Hon. Richard J. Curran (Ret.),"Judge of the San Diego Municipal Court, San Diego County",Appointed,Brown,05/16/1964,05/31/1984,Retired,Retirement
Hon. Howard M. Dabney (Ret.),"Associate Justice of the Court of Appeal
Fourth Appellate District, Division Two",Appointed,Deukemejian,11/09/1987,09/30/1995,Retired,Retirement
Hon. Howard M. Dabney (Ret.),"Judge of the Superior Court of California,
  County of Riverside",Appointed,Deukemejian,07/22/1983,11/09/1987,Promoted,Elevated
Hon. Howard M. Dabney (Ret.),"Judge of the Riverside Municipal Court District, Riverside County",Appointed,"Brown, Jr.",03/14/1977,07/22/1983,Promoted,Elevated
"Hon. F. Paul Dacey, Jr. (Ret.)","Judge of the Superior Court of California,
  County of Solano",Unification,,08/03/1998,05/04/1999,Retired,Retirement
"Hon. F. Paul Dacey, Jr. (Ret.)","Judge of the Solano County Courts, Solano County",Appointed,"Brown, Jr.",05/04/1979,08/03/1998,Non-Voluntary,Unification-SCA4
Hon. Edward Scott Dales (Ret.),"Judge of the Superior Court of California,
  County of Riverside",Appointed,Brown,12/23/1966,02/28/1983,Retired,Retirement
Hon. Edward Scott Dales (Ret.),"Judge of the Riverside Municipal Court District, Riverside County",Appointed,Brown,11/09/1961,12/23/1966,Promoted,Elevated
Hon. Vincent S. Dalsimer (Ret.),"Associate Justice of the Court of Appeal
Second Appellate District, Division One",Appointed,"Brown, Jr.",07/21/1981,06/30/1985,Retired,Retirement
Hon. Vincent S. Dalsimer (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Brown,12/15/1961,07/21/1981,Promoted,Elevated
Hon. Thomas J. Dandurand (Ret.),"Judge of the Superior Court of California,
  County of San Francisco",Appointed,Reagan,12/29/1974,01/04/1994,Retired,Retirement
Hon. Thomas J. Dandurand (Ret.),"Judge of the San Francisco Municipal Court, San Francisco County",Appointed,Reagan,03/11/1971,12/29/1974,Promoted,Elevated
Hon. James P. Darrah (Ret.),"Judge of the Superior Court of California,
  County of San Joaquin",Elected,,01/04/1971,03/31/1993,Retired,Retirement
Hon. Edward L. Davenport (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,Reagan,07/01/1968,06/30/1993,Retired,Retirement
Hon. Carl E. Davis (Ret.),"Judge of the Superior Court of California,
  County of San Bernardino",Appointed,Deukemejian,01/20/1984,08/31/1994,Retired,Retirement
Hon. Carl E. Davis (Ret.),"Judge of the San Bernardino County Municipal Court East Division, San Bernardino County",Appointed,Reagan,02/22/1974,01/20/1984,Promoted,Elevated
Hon. Gerald K. Davis (Ret.),"Judge of the Superior Court of California,
  County of Kern",Appointed,"Brown, Jr.",02/17/1976,06/02/1992,Retired,Retirement
Hon. Gerald K. Davis (Ret.),"Judge of the Bakersfield Municipal Court, Kern County",Appointed,Brown,07/08/1965,02/17/1976,Promoted,Elevated
Hon. Joseph K. Davis (Ret.),"Judge of the San Diego Municipal Court, San Diego County",Appointed,"Brown, Jr.",04/01/1980,01/01/1989,Retired,
"Hon. Charles C. Dawson, Jr.","Judge of the Superior Court of California,
  County of Yuba",Appointed,"Brown, Jr.",10/18/1976,01/06/1985,Term Ended,
Hon. James F. Dawson (Ret.),"Judge of the Superior Court of California,
  County of Yuba",Unification,,04/16/1999,03/04/2000,Retired,Retirement
Hon. James F. Dawson (Ret.),"Judge of the Yuba County Municipal Court, Yuba County",Appointed,"Brown, Jr.",01/01/1981,04/16/1999,Non-Voluntary,Unification-SCA4
Hon. Virginia Mae Days (Ret.),"Judge of the Superior Court of California,
  County of Santa Clara",Unification,,08/03/1998,06/30/2001,Retired,Retirement
Hon. Virginia Mae Days (Ret.),"Judge of the Santa Clara County Municipal Court, Santa Clara County",Appointed,"Brown, Jr.",06/12/1981,08/03/1998,Non-Voluntary,Unification-SCA4
Hon. John E. Dearman (Ret.),"Judge of the Superior Court of California,
  County of San Francisco",Appointed,"Brown, Jr.",03/05/1979,03/28/2009,Retired,Retirement
Hon. John E. Dearman (Ret.),"Judge of the San Francisco Municipal Court, San Francisco County",Appointed,"Brown, Jr.",03/28/1977,03/05/1979,Promoted,Elevated
Hon. Joseph A. DeCristoforo (Ret.),"Associate Justice of the Court of Appeal
Third Appellate District",Appointed,Deukemejian,04/26/1989,11/30/1990,Retired,Deferred Retirement
Hon. Joseph A. DeCristoforo (Ret.),"Judge of the Superior Court of California,
  County of Sacramento",Appointed,Reagan,12/30/1968,04/26/1989,Promoted,Elevated
Hon. Porter de Dubovay (Ret.),"Judge of the Southeast Municipal Court, Los Angeles County",Appointed,Reagan,08/30/1973,01/31/1994,Retired,Retirement
Hon. Warren Deering (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Elected,,01/05/1981,06/01/1990,Retired,Retirement
Hon. Warren Deering (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,Reagan,04/06/1972,01/05/1981,Promoted,Elevated
Hon. Ronald T. Deissler (Ret.),"Judge of the Superior Court of California,
  County of Riverside",Elected,,01/03/1977,04/13/1993,Retired,Retirement
Hon. Ronald T. Deissler (Ret.),"Judge of the Riverside Municipal Court District, Riverside County",Appointed,Reagan,04/13/1973,01/03/1977,Promoted,Elevated
Hon. F. Jose de Larios (Ret.),"Judge of the San Mateo County Municipal Court, San Mateo County",Appointed,Brown,10/10/1963,10/16/1983,Retired,Retirement
Hon. George M. Dell (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Brown,09/23/1966,01/02/1985,Retired,Retirement
Hon. George M. Dell (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,Brown,12/05/1963,09/23/1966,Promoted,Elevated
Hon. Alfred A. Delucchi (Ret.),"Judge of the Superior Court of California,
  County of Alameda",Appointed,Deukemejian,01/20/1984,06/30/1998,Retired,Retirement
Hon. Alfred A. Delucchi (Ret.),"Judge of the San Leandro-Hayward Municipal Court, Alameda County",Appointed,Reagan,11/19/1971,01/20/1984,Promoted,Elevated
Hon. John A. DeRonde (Ret.),"Judge of the Superior Court of California,
  County of Solano",Elected,,01/05/1987,07/09/1990,Retired,Deferred Retirement
Hon. John A. DeRonde (Ret.),"Judge of the Solano County Courts, Solano County",Appointed,Reagan,03/07/1973,01/05/1987,Promoted,Elevated
Hon. Joseph A. Desmond (Ret.),"Judge of the Superior Court of California,
  County of San Francisco",Unification,,12/31/1998,06/30/2002,Retired,Retirement
Hon. Joseph A. Desmond (Ret.),"Judge of the San Francisco Municipal Court, San Francisco County",Appointed,"Brown, Jr.",01/02/1983,12/31/1998,Non-Voluntary,Unification-SCA4
Hon. Max F. Deutz (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Reagan,12/01/1967,10/31/1986,Retired,Retirement
Hon. Robert R. Devich (Ret.),"Associate Justice of the Court of Appeal
Second Appellate District, Division One",Appointed,Deukemejian,01/10/1986,06/30/1992,Retired,Deferred Retirement
Hon. Robert R. Devich (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,"Brown, Jr.",08/04/1978,01/10/1986,Promoted,Elevated
Hon. Robert R. Devich (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,Reagan,04/06/1972,08/04/1978,Promoted,Elevated
Hon. Rudolph A. Diaz,"Judge of the Superior Court of California,
  County of Los Angeles",Unification,,01/22/2000,01/22/2000,Active Service,
Hon. Rudolph A. Diaz,"Judge of the Rio Hondo Municipal Court, Los Angeles County",Appointed,"Brown, Jr.",07/31/1980,01/22/2000,Non-Voluntary,Unification-SCA4
Hon. Benjamin Diaz (Ret.),"Judge of the Superior Court of California,
  County of Sacramento",Appointed,"Brown, Jr.",09/26/1979,05/31/1986,Retired,Deferred Retirement
Hon. Benjamin Diaz (Ret.),"Judge of the Sacramento Superior and Municipal Courts, Sacramento County",Appointed,"Brown, Jr.",04/23/1976,09/26/1979,Promoted,Elevated
Hon. Alfred W. Dibb (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Reagan,07/05/1973,08/31/1984,Retired,Retirement
Hon. Alfred W. Dibb (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,Brown,09/01/1964,07/05/1973,Promoted,Elevated
Hon. Everett W. Dickey (Ret.),"Judge of the Superior Court of California,
  County of Orange",Appointed,Reagan,04/09/1973,03/31/1998,Retired,Retirement
Hon. Everett W. Dickey (Ret.),"Judge of the West Orange County Municipal Court District, Orange County",Appointed,Reagan,05/26/1970,04/09/1973,Promoted,Elevated
Hon. Joseph J. DiGiuseppe,"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Reagan,07/05/1973,04/05/1984,Deceased,
Hon. Joseph J. DiGiuseppe,"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,Reagan,11/26/1969,07/05/1973,Promoted,Elevated
Hon. Sally Grant Disco (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,"Brown, Jr.",12/14/1981,12/31/1992,Retired,Retirement
Hon. Sally Grant Disco (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,"Brown, Jr.",12/29/1980,12/14/1981,Promoted,Elevated
Hon. Bruce W. Dodds (Ret.),"Judge of the Superior Court of California,
  County of Santa Barbara",Elected,,01/03/1977,07/08/1998,Retired,Retirement
Hon. David Isumu Doi (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Unification,,01/22/2000,03/06/2006,Retired,Retirement
Hon. David Isumu Doi (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,"Brown, Jr.",01/02/1983,01/22/2000,Non-Voluntary,Unification-SCA4
Hon. David A. Dolgin (Ret.),"Judge of the Superior Court of California,
  County of Contra Costa",Appointed,"Brown, Jr.",07/15/1977,12/31/1993,Retired,Retirement
Hon. Louis C. Doll (Ret.),"Judge of the Santa Clara County Municipal Court, Santa Clara County",Appointed,Brown,10/25/1963,12/31/1983,Retired,Retirement
Hon. Frank Domenichini (Ret.),"Judge of the Superior Court of California,
  County of Orange",Appointed,Reagan,04/01/1971,03/31/1990,Retired,Retirement
Hon. Frank Domenichini (Ret.),"Judge of the South Orange County Municipal Court, Orange County",Appointed,Reagan,12/30/1969,04/01/1971,Promoted,Elevated
Hon. H. Ronald Domnitz (Ret.),"Judge of the Superior Court of California,
  County of San Diego",Unification,,12/01/1998,01/07/2007,Retired,Retirement
Hon. H. Ronald Domnitz (Ret.),"Judge of the San Diego Municipal Court, San Diego County",Appointed,"Brown, Jr.",01/02/1983,12/01/1998,Non-Voluntary,Unification-SCA4
Hon. Burch Donahue (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Reagan,11/08/1967,01/31/1984,Retired,Retirement
Hon. Burch Donahue (Ret.),"Judge of the Inglewood Municipal Court, Los Angeles County",Elected,,01/05/1959,11/08/1967,Promoted,Elevated
Hon. Herbert Donaldson (Ret.),"Judge of the Superior Court of California,
  County of San Francisco",Unification,,12/31/1998,02/16/1999,Retired,Retirement
Hon. Herbert Donaldson (Ret.),"Judge of the San Francisco Municipal Court, San Francisco County",Appointed,"Brown, Jr.",01/02/1983,12/31/1998,Non-Voluntary,Unification-SCA4
Hon. Roosevelt F. Dorn (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,"Brown, Jr.",07/22/1980,04/18/1997,Retired,Retirement
Hon. Roosevelt F. Dorn (Ret.),"Judge of the Inglewood Municipal Court, Los Angeles County",Appointed,"Brown, Jr.",02/09/1979,07/22/1980,Promoted,Elevated
Hon. Robert L. Dossee (Ret.),"Associate Justice of the Court of Appeal
First Appellate District, Division One",Appointed,Deukemejian,10/20/1990,05/31/1998,Retired,Retirement
Hon. Robert L. Dossee (Ret.),"Judge of the Superior Court of California,
  County of San Francisco",Appointed,"Brown, Jr.",03/15/1979,10/20/1990,Promoted,Elevated
Hon. Robert L. Dossee (Ret.),"Judge of the San Francisco Municipal Court, San Francisco County",Appointed,Reagan,12/29/1972,03/15/1979,Promoted,Elevated
Hon. Norman R. Dowds (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Reagan,02/13/1968,02/29/1988,Retired,Deferred Retirement
Hon. William L. Dozier (Ret.),"Judge of the Superior Court of California,
  County of San Joaquin",Appointed,Brown,02/09/1962,11/30/1984,Retired,Retirement
Hon. William A. Drake (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Reagan,08/13/1971,08/13/1986,Retired,Retirement
Hon. William A. Drake (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,Reagan,12/13/1968,08/13/1971,Promoted,Elevated
Hon. Bessie P. Dreibelbis (Ret.),"Judge of the Bay Municipal Court, Contra Costa County",Appointed,Reagan,03/20/1973,05/31/1993,Retired,Retirement
Hon. Ralph M. Drummond (Ret.),"Judge of the Superior Court of California,
  County of Monterey",Appointed,Reagan,01/17/1969,07/11/1983,Retired,Retirement
Hon. Thomas G. Duffy (Ret.),"Judge of the Superior Court of California,
  County of San Diego",Appointed,"Brown, Jr.",05/16/1980,01/04/1988,Retired,Deferred Retirement
Hon. Thomas G. Duffy (Ret.),"Judge of the El Cajon Municipal Court, San Diego County",Appointed,Reagan,12/29/1967,05/16/1980,Promoted,Elevated
Hon. Rosemary M. Dunbar (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,"Brown, Jr.",02/18/1977,02/28/1990,Retired,Retirement
Hon. Rosemary M. Dunbar (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,Reagan,12/20/1968,02/18/1977,Promoted,Elevated
Hon. Roderic Duncan (Ret.),"Judge of the Superior Court of California,
  County of Alameda",Elected,,01/05/1987,11/10/1995,Retired,Retirement
Hon. Roderic Duncan (Ret.),"Judge of the Oakland-Piedmont-Emeryville Municipal Court, Alameda County",Appointed,"Brown, Jr.",11/10/1975,01/05/1987,Promoted,Elevated
Hon. G. William Dunn (Ret.),"Judge of the Long Beach Municipal Court, Los Angeles County",Elected,,01/08/1979,05/01/1999,Retired,Retirement
Hon. Carroll M. Dunnum (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Reagan,11/07/1968,06/30/1987,Retired,Retirement
Hon. Carroll M. Dunnum (Ret.),"Judge of the Downey Municipal Court, Los Angeles County",Appointed,Brown,10/17/1961,11/07/1968,Promoted,Elevated
Hon. Daniel C. Dutcher (Ret.),"Judge of the West Orange County Municipal Court, Orange County",Elected,,01/03/1983,01/02/1995,Retired,Retirement
"Hon. James Duvaras, Jr. (Ret.)","Judge of the Superior Court of California,
  County of Santa Clara",Appointed,Reagan,03/17/1972,12/31/1983,Retired,Retirement
"Hon. James Duvaras, Jr. (Ret.)","Judge of the Santa Clara County Municipal Court, Santa Clara County",Appointed,Brown,08/16/1963,03/17/1972,Promoted,Elevated
Hon. David N. Eagleson,Associate Justice,Appointed,Deukemejian,03/18/1987,01/06/1991,Term Ended,
Hon. David N. Eagleson,"Associate Justice of the Court of Appeal
Second Appellate District, Division Five",Appointed,Deukemejian,11/30/1984,03/18/1987,Promoted,Elevated
Hon. David N. Eagleson,"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Reagan,12/28/1970,11/30/1984,Promoted,Elevated
Hon. Alexander R. Early III (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Reagan,01/04/1972,08/06/1987,Retired,Retirement
Hon. Harley James Earwicker (Ret.),"Judge of the North County Municipal Court, San Diego County",Appointed,"Brown, Jr.",01/11/1983,09/01/1998,Retired,Retirement
Hon. Mark Eaton (Ret.),"Judge of the Superior Court of California,
  County of Alameda",Appointed,"Brown, Jr.",01/14/1982,01/04/1999,Retired,Retirement
Hon. Mark Eaton (Ret.),"Judge of the Livermore-Pleasanton-Dublin Municipal Court, Alameda County",Appointed,"Brown, Jr.",02/23/1976,01/14/1982,Promoted,Elevated
Hon. Robert G. Eckhoff (Ret.),"Judge of the North Santa Barbara County Municipal Court, Santa Barbara County",Appointed,Reagan,01/05/1975,01/06/1985,Retired,Retirement
Hon. Dallas S. Edgar (Ret.),"Judge of the San Leandro-Hayward Municipal Court, Alameda County",Appointed,Reagan,01/30/1970,01/31/1988,Retired,Deferred Retirement
Hon. James M. Edmunds (Ret.),"Judge of the South Bay Municipal Court, San Diego County",Appointed,"Brown, Jr.",08/25/1975,02/29/1992,Retired,Retirement
Hon. Lyle R. Edson (Ret.),"Judge of the Superior Court of California,
  County of San Mateo",Appointed,Reagan,08/29/1969,12/31/1983,Retired,Retirement
Hon. Lyle R. Edson (Ret.),"Judge of the San Mateo County Municipal Court, San Mateo County",Appointed,Brown,09/01/1964,08/28/1969,Promoted,Elevated
Hon. James A. Edwards (Ret.),"Judge of the Superior Court of California,
  County of San Bernardino",Appointed,Deukemejian,01/17/1986,07/15/2003,Retired,Retirement
Hon. James A. Edwards (Ret.),"Judge of the San Bernardino County Municipal Court East Division, San Bernardino County",Appointed,Unknown,07/13/1973,01/17/1986,Promoted,Elevated
Hon. Leonard P. Edwards,"Judge of the Superior Court of California,
  County of Santa Clara",Appointed,"Brown, Jr.",07/21/1980,01/05/1981,Promoted,Elevated
Hon. Leonard P. Edwards,"Judge of the Superior Court of California,
  County of Santa Clara",Appointed,"Brown, Jr.",09/25/1981,05/31/2006,Retired,Retirement
Hon. Leonard P. Edwards,"Judge of the Santa Clara County Municipal Court, Santa Clara County",Appointed,"Brown, Jr.",01/05/1981,09/25/1981,Promoted,Elevated
Hon. Donald R. Egan (Ret.),"Judge of the Superior Court of California,
  County of San Bernardino",Appointed,"Brown, Jr.",06/20/1977,06/30/1990,Retired,Retirement
Hon. Norbert Ehrenfreund (Ret.),"Judge of the Superior Court of California,
  County of San Diego",Appointed,"Brown, Jr.",12/15/1975,01/01/1995,Retired,Retirement
Hon. Robert Einstein (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,"Brown, Jr.",03/12/1981,12/31/1994,Retired,Retirement
Hon. Arthur E. Eissinger (Ret.),"Judge of the Sacramento Superior and Municipal Courts, Sacramento County",Appointed,Brown,08/22/1966,10/31/1986,Retired,Retirement
Hon. Betty L. Elias (Ret.),"Judge of the North Orange County Municipal Court, Orange County",Appointed,"Brown, Jr.",08/13/1976,08/19/1994,Retired,Retirement
Hon. Norman Elkington (Ret.),"Associate Justice of the Court of Appeal
First Appellate District, Division One",Appointed,Brown,12/23/1966,06/30/1988,Retired,Retirement
Hon. Norman Elkington (Ret.),"Judge of the Superior Court of California,
  County of San Francisco",Appointed,Brown,09/03/1959,12/23/1966,Promoted,Elevated
Hon. Dwight C. Ely (Ret.),"Judge of the Superior Court of California,
  County of Solano",Appointed,"Brown, Jr.",03/14/1980,03/31/1999,Retired,Retirement
Hon. Leon Emerson (Ret.),"Judge of the Downey Municipal Court, Los Angeles County",Appointed,Brown,10/17/1961,04/14/1985,Retired,Retirement
Hon. Ragnar R. Engebretsen (Ret.),"Judge of the Superior Court of California,
  County of Orange",Appointed,Deukemejian,12/04/1984,04/30/1992,Retired,Deferred Retirement
Hon. Ragnar R. Engebretsen (Ret.),"Judge of the West Orange County Municipal Court, Orange County",Appointed,Reagan,04/04/1972,12/04/1984,Promoted,Elevated
Hon. Timothy England,"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,"Brown, Jr.",02/24/1981,05/30/1985,Deceased,
